Origen,Destino,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Zihuatanejo,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Celaya,,0,3,0,22,0,0,0,0,0,1,2,9,4,0,0,548,119,0,0,1,13,3,3,0,0,0,0,0
,Acapulco,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Apatzingán,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cuernavaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,Culiacán,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,León,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,México,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0
,Minatitlán,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Monterrey,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,222,68,0,0,0,0,0,0,0,0,0,0,0
,Morelia,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Oaxaca,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Querétaro,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,164,51,0,0,0,4,0,0,0,0,0,0,0
,Toluca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,2,0,0,0,0,0
,Torreón,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Uruapan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Veracruz,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Villahermosa,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Zihuatanejo,0,3,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chetumal,,195,1606,492,593,860,1030,965,1565,1469,877,369,532,683,752,663,752,811,655,516,517,831,656,610,686,816,1118,1200,1298
,Campeche,0,0,0,0,0,0,0,27,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cancún,30,966,208,148,169,312,510,379,573,363,56,2,1,1,2,59,81,0,0,0,0,0,0,0,0,0,0,0
,Ciudad del Carmen,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cozumel,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Guadalajara,0,0,0,0,0,0,0,261,290,65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93
