"aeropuerto",1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"   Regulares",0,0,0,0,0,0,0,0,402,453,454,914,839,933,1331,1468,1380,851,318,26,230,795,771,0,40,151,199,131,0,0,357,74,4161,2819
"          Nacionales Regulares",0,0,0,0,0,0,0,0,402,453,454,914,839,933,1331,1468,1380,851,318,26,230,795,771,0,40,151,199,131,0,0,357,74,2466,1487
"          Internacionales Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1695,1332
"   Charters",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,3,13,0,0,1,1,0,0,2,0,0,0,125,111
"         Charters Nacionales",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,3,13,0,0,1,0,0,0,2,0,0,0,1,81
"         Charters Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,124,30
"Culiacán, Sin.",1706,1647,1871,2254,2849,4739,230463,8520,7627,8557,7799,9051,9964,9710,8762,8596,8344,8824,9049,9183,9610,11792,10530,9414,8957,8402,7974,8500,8193,7928,8511,8430,0,5
"   Nacionales",,,1871,2254,2847,4701,219322,8151,7314,8171,7397,8684,9608,9385,8421,8282,8148,8645,8826,8782,9523,11444,10364,9385,8953,8397,7946,8475,8187,7926,8445,8354,0,5
"   Internacionales",,,0,0,2,38,11141,369,313,386,402,367,356,325,341,314,196,179,223,401,87,348,166,29,4,5,28,25,6,2,66,76,0,0
"   Regulares",1706,1643,1871,2253,2809,4612,230139,8502,7601,8546,7753,9049,9960,9710,8755,8574,8344,8824,9037,9183,9610,11792,10530,9414,8957,8397,7967,8499,8193,7928,8511,8426,0,0
"          Nacionales Regulares",1706,1643,1871,2253,2807,4588,219071,8138,7288,8162,7394,8682,9605,9385,8414,8268,8148,8645,8814,8782,9523,11444,10364,9385,8953,8396,7939,8474,8187,7926,8445,8350,0,0
"          Internacionales Regulares",0,0,0,0,2,24,11068,364,313,384,359,367,355,325,341,306,196,179,223,401,87,348,166,29,4,1,28,25,6,2,66,76,0,0
"   Charters",0,4,0,1,40,127,324,18,26,11,46,2,4,0,7,22,0,0,12,0,0,0,0,0,0,5,7,1,0,0,0,4,0,5
"         Charters Nacionales",0,0,0,1,40,113,251,13,26,9,3,2,3,0,7,14,0,0,12,0,0,0,0,0,0,1,7,1,0,0,0,4,0,5
"         Charters Internacionales",0,0,0,0,0,14,73,5,0,2,43,0,1,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Chetumal, Q. Roo.",361,362,82,30,32,366,14935,1425,463,372,319,655,1217,1163,925,706,375,538,686,760,667,708,784,656,515,515,831,654,609,686,818,1194,10267,10406
