"aeropuerto",1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"         Charters Internacionales",0,0,0,0,0,0,49,23,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,9,0,0,0,0,0,0,0,1
"Tampico, Tamps.",1717,1253,914,1515,2010,4018,210196,6256,6883,5495,4320,4573,5116,5811,6498,5937,5108,4924,4810,5165,5394,7144,6083,4506,4165,3987,4520,4419,5406,5274,5050,4822,4836,4666
"   Nacionales",,,914,1505,1997,3857,203551,6201,6696,5403,4320,4570,4818,5413,5897,5532,4679,4506,4435,4785,5014,6771,5444,4136,3784,3585,4059,4061,5039,4901,4688,4455,4467,4299
"   Internacionales",,,0,10,13,161,6645,55,187,92,0,3,298,398,601,405,429,418,375,380,380,373,639,370,381,402,461,358,367,373,362,367,369,367
"   Regulares",1717,1253,914,1506,2010,3798,207747,6223,6690,5494,4314,4564,5097,5806,6475,5919,5104,4913,4796,5133,5355,7138,6073,4494,4157,3981,4514,4419,5406,5274,5050,4822,4836,4666
"          Nacionales Regulares",1713,1246,914,1505,1997,3684,201102,6170,6572,5402,4314,4564,4814,5413,5894,5526,4677,4498,4430,4768,4991,6767,5437,4127,3777,3582,4055,4061,5039,4901,4688,4455,4467,4299
"          Internacionales Regulares",4,7,0,1,13,114,6645,53,118,92,0,0,283,393,581,393,427,415,366,365,364,371,636,367,380,399,459,358,367,373,362,367,369,367
"   Charters",0,0,0,9,0,220,2449,33,193,1,6,9,19,5,23,18,4,11,14,32,39,6,10,12,8,6,6,0,0,0,0,0,0,0
"         Charters Nacionales",0,0,0,0,0,173,2449,31,124,1,6,6,4,0,3,6,2,8,5,17,23,4,7,9,7,3,4,0,0,0,0,0,0,0
"         Charters Internacionales",0,0,0,9,0,47,0,2,69,0,0,3,15,5,20,12,2,3,9,15,16,2,3,3,1,3,2,0,0,0,0,0,0,0
"Tamuin, S.L.P.",0,0,0,0,87,83,203,0,7,0,0,0,0,0,0,0,0,2,0,0,2,0,48,2,0,0,0,0,0,0,0,0,0,40
"   Nacionales",,,0,0,87,83,203,0,7,0,0,0,0,0,0,0,0,2,0,0,2,0,48,2,0,0,0,0,0,0,0,0,0,40
"   Internacionales",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Regulares",0,0,0,0,87,83,190,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,40
"          Nacionales Regulares",0,0,0,0,87,83,190,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,40
"          Internacionales Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Charters",0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0
"         Charters Nacionales",0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0
"         Charters Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tapachula, Chis.",717,738,443,465,572,722,75417,1450,1960,1727,1427,1475,1876,2831,2420,0,1522,1476,1446,1164,1294,1738,2093,1352,1337,1136,1088,1141,1286,1446,1540,1468,1624,1837
"   Nacionales",,,443,465,572,721,73441,1450,1960,1727,1427,1475,1875,2831,2343,2093,1522,1476,1446,1164,1294,1737,2093,1352,1337,1136,1088,1116,1157,1446,1540,1468,1623,1837
"   Internacionales",,,0,0,0,1,1976,0,0,0,0,0,1,0,77,2,0,0,0,0,0,1,0,0,0,0,0,25,129,0,0,0,1,0
"   Regulares",717,738,443,465,572,722,75393,1450,1960,1727,1424,1475,1875,2831,2418,2092,1522,1476,1446,1156,1290,1734,2088,1346,1337,1134,1086,1138,1284,1435,1525,1461,1606,1835
"          Nacionales Regulares",716,738,443,465,572,721,73417,1450,1960,1727,1424,1475,1875,2831,2341,2092,1522,1476,1446,1156,1290,1734,2088,1346,1337,1134,1086,1113,1155,1435,1525,1461,1605,1835
"          Internacionales Regulares",1,0,0,0,0,1,1976,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,25,129,0,0,0,1,0
"   Charters",0,0,0,0,0,0,24,0,0,0,3,0,1,0,2,3,0,0,0,8,4,4,5,6,0,2,2,3,2,11,15,7,18,2
"         Charters Nacionales",0,0,0,0,0,0,24,0,0,0,3,0,0,0,2,1,0,0,0,8,4,3,5,6,0,2,2,3,2,11,15,7,18,2
"         Charters Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tehuacán, Pue.",0,0,0,0,31,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"   Nacionales",,,0,0,31,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"   Internacionales",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Regulares",0,0,0,0,31,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"          Nacionales Regulares",0,0,0,0,31,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"          Internacionales Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Charters",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"         Charters Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"         Charters Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tepic, Nay.",0,0,0,0,855,695,62456,2495,2518,1968,1831,2360,1796,1454,1355,1102,1477,1341,1363,1295,1602,1986,1440,772,613,628,657,855,1245,1270,1659,1171,1154,1208
"   Nacionales",,,0,0,855,695,62400,2495,2518,1968,1831,2360,1796,1454,1355,1102,1477,1341,1363,1295,1602,1986,1440,772,613,628,657,855,1245,1270,1659,1171,1154,1208
"   Internacionales",,,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Regulares",0,0,0,0,855,695,62369,2495,2518,1968,1831,2360,1796,1454,1355,1102,1477,1341,1337,1293,1588,1963,1438,772,613,628,656,855,1245,1270,1659,1171,1154,1208
"          Nacionales Regulares",0,0,0,0,855,695,62369,2495,2518,1968,1831,2360,1796,1454,1355,1102,1477,1341,1337,1293,1588,1963,1438,772,613,628,656,855,1245,1270,1659,1171,1154,1208
"          Internacionales Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Charters",0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,26,2,14,23,2,0,0,0,1,0,0,0,0,0,0,0
"         Charters Nacionales",0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,26,2,14,23,2,0,0,0,1,0,0,0,0,0,0,0
"         Charters Internacionales",0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(3) Terán, Chis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5185,4512,4248,4586,4271,1929,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Nacionales",,,0,0,0,0,0,0,0,0,0,0,0,0,0,5185,4512,4248,4586,4271,1929,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Internacionales",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5185,4510,4245,4584,4271,1927,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Nacionales Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5185,4510,4245,4584,4271,1927,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Internacionales Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"   Charters",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"         Charters Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"         Charters Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tijuana, B.C.",7340,6883,5428,6665,8006,10658,1101318,14703,19634,17151,16983,17095,18150,19965,18669,19140,18971,19460,18318,19194,21014,27613,21655,17748,18036,16060,16564,18930,19036,20633,24999,25803,27115,28839
"   Nacionales",,,5326,6654,7996,10316,1092247,14074,17714,16779,16970,17095,17824,19603,18574,19009,18569,19010,18307,19154,20972,27405,21498,17542,17847,15951,16453,18822,18914,20395,24730,25707,26871,28711
"   Internacionales",,,102,11,10,342,9071,629,1920,372,13,0,326,362,95,131,402,450,11,40,42,208,157,206,189,109,111,108,122,238,269,96,244,128
"   Regulares",7340,6883,5428,6665,8006,10583,1099511,14670,19527,17117,16974,17092,18150,19952,18564,19137,18971,19425,18314,19177,21013,27611,21647,17732,17983,16037,16562,18925,19034,20631,24996,25802,27110,28838
"          Nacionales Regulares",6450,6354,5326,6654,7996,10289,1090931,14041,17652,16771,16961,17092,17824,19592,18521,19009,18569,19002,18304,19138,20971,27403,21490,17526,17828,15950,16451,18817,18912,20393,24727,25706,26868,28710
"          Internacionales Regulares",890,529,102,11,10,294,8580,629,1875,346,13,0,326,360,43,128,402,423,10,39,42,208,157,206,155,87,111,108,122,238,269,96,242,128
"   Charters",0,0,0,0,0,75,1807,33,107,34,9,3,0,13,105,3,0,35,4,17,1,2,8,16,53,23,2,5,2,2,3,1,5,1
"         Charters Nacionales",0,0,0,0,0,27,1316,33,62,8,9,3,0,11,53,0,0,8,3,16,1,2,8,16,19,1,2,5,2,2,3,1,3,1
"         Charters Internacionales",0,0,0,0,0,48,491,0,45,26,0,0,0,2,52,3,0,27,1,1,0,0,0,0,34,22,0,0,0,0,0,0,2,0
"Toluca, Méx.",472,384,1173,216,90,115,2008,354,1064,126,13,21,21,27,17,602,367,307,266,834,12666,16941,20545,13630,10327,7798,4814,6567,4530,5598,5506,5507,3895,3277
"   Nacionales",,,1173,216,2,1,872,325,899,70,0,1,0,1,4,588,354,295,68,432,11950,16433,19976,12937,9603,7190,4109,6075,4169,5220,5399,5449,3861,3244
"   Internacionales",,,0,0,88,114,1136,29,165,56,13,20,21,26,13,14,13,12,198,402,716,508,569,693,724,608,705,492,361,378,107,58,34,33
"   Regulares",472,384,1173,216,90,114,113,318,993,29,12,21,21,26,13,596,353,307,225,797,12620,16912,20515,13608,10322,7747,4701,6437,4372,5460,5243,5232,3685,3180
"          Nacionales Regulares",472,384,1173,216,2,0,112,306,898,20,0,1,0,0,0,583,341,295,27,395,11904,16404,19946,12922,9599,7140,3997,5950,4037,5098,5190,5224,3671,3167
"          Internacionales Regulares",0,0,0,0,88,114,1,12,95,9,12,20,21,26,13,13,12,12,198,402,716,508,569,686,723,607,704,487,335,362,53,8,14,13
"   Charters",0,0,0,0,0,1,1895,36,71,97,1,0,0,1,4,6,14,0,41,37,46,29,30,22,5,51,113,130,158,138,263,275,210,97
"         Charters Nacionales",0,0,0,0,0,1,760,19,1,50,0,0,0,1,4,5,13,0,41,37,46,29,30,15,4,50,112,125,132,122,209,225,190,77
"         Charters Internacionales",0,0,0,0,0,0,1135,17,70,47,1,0,0,0,0,1,1,0,0,0,0,0,0,7,1,1,1,5,26,16,54,50,20,20
"Torreón, Coah.",2325,2510,1254,1513,1774,2713,179195,7972,9381,10639,9752,9829,10300,9460,8813,8549,8156,7240,7497,7106,7208,8933,7671,4475,3627,3284,3539,3738,4169,4314,4852,3903,4486,4649
"   Nacionales",,,1253,1513,1766,2696,178919,7972,9190,10266,9418,9203,9711,9255,8293,8074,7655,6792,6718,5960,6008,7656,6484,3740,2897,2428,2479,2882,3379,3559,4300,3534,4102,3918
"   Internacionales",,,1,0,8,17,276,0,191,373,334,626,589,205,520,475,501,448,779,1146,1200,1277,1187,735,730,856,1060,856,790,755,552,369,384,731
"   Regulares",2325,2510,1254,1497,1774,2677,176705,7972,9234,10605,9752,9777,10260,9409,8732,8456,8062,7167,7432,7040,7155,8874,7635,4444,3547,3208,3536,3737,4167,4314,4852,3903,4486,4649
"          Nacionales Regulares",2318,2505,1253,1497,1766,2664,176429,7972,9047,10232,9418,9152,9671,9204,8212,7981,7563,6722,6658,5896,5955,7599,6449,3711,2821,2353,2477,2882,3377,3559,4300,3534,4102,3918
"          Internacionales Regulares",7,5,1,0,8,13,276,0,187,373,334,625,589,205,520,475,499,445,774,1144,1200,1275,1186,733,726,855,1059,855,790,755,552,369,384,731
"   Charters",0,0,0,16,0,36,2490,0,147,34,0,52,40,51,81,93,94,73,65,66,53,59,36,31,80,76,3,1,2,0,0,0,0,0
"         Charters Nacionales",0,0,0,16,0,32,2490,0,143,34,0,51,40,51,81,93,92,70,60,64,53,57,35,29,76,75,2,0,2,0,0,0,0,0
"         Charters Internacionales",0,0,0,0,0,4,0,0,4,0,0,1,0,0,0,0,2,3,5,2,0,2,1,2,4,1,1,1,0,0,0,0,0,0
"(3) Tuxtla Gutiérrez, Chis.",1606,1518,601,468,544,1376,64099,1001,816,109,1980,1983,0,0,4791,0,25,345,136,258,2591,5124,5766,4148,3635,3991,4198,4414,4721,5387,6208,6627,5903,5897
"   Nacionales",,,601,468,541,1359,64081,1001,816,109,1980,1983,0,0,4791,0,25,345,136,258,2591,5124,5765,4148,3575,3887,4090,4231,4716,5386,6207,6627,5902,5896
"   Internacionales",,,0,0,3,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,104,108,183,5,1,1,0,1,1
"   Regulares",1606,1518,601,468,544,1376,64081,1001,816,109,1980,1983,0,0,4791,0,24,319,88,214,2558,5079,5726,4110,3603,3961,4163,4401,4710,5374,6196,6621,5901,5895
"          Nacionales Regulares",1606,1518,601,468,541,1359,64081,1001,816,109,1980,1983,0,0,4791,0,24,319,88,214,2558,5079,5726,4110,3543,3857,4056,4218,4706,5374,6196,6621,5900,5894
"          Internacionales Regulares",0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,104,107,183,4,0,0,0,1,1
"   Charters",0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,26,48,44,33,45,40,38,32,30,35,13,11,13,12,6,2,2
"         Charters Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,48,44,33,45,39,38,32,30,34,13,10,12,11,6,2,2
"         Charters Internacionales",0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0
"Uruapan, Mich.",181,130,198,380,421,361,8291,2286,1079,362,351,563,930,1168,365,453,682,682,713,963,1213,886,748,416,412,379,408,452,373,419,484,536,558,558
"   Nacionales",,,198,380,421,361,8291,2286,1079,362,351,563,930,1168,365,453,682,682,713,963,1213,886,748,416,412,379,395,385,326,366,429,483,507,506
"   Internacionales",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,67,47,53,55,53,51,52
"   Regulares",181,130,198,380,421,361,8277,2286,1079,362,351,563,930,1168,365,453,682,682,713,963,1213,886,748,416,412,379,408,452,373,419,484,536,558,558
"          Nacionales Regulares",181,130,198,380,421,361,8277,2286,1079,362,351,563,930,1168,365,453,682,682,713,963,1213,886,748,416,412,379,395,385,326,366,429,483,507,506
"          Internacionales Regulares",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,67,47,53,55,53,51,52
"   Charters",0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"         Charters Nacionales",0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"         Charters Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veracruz, Ver.",1429,974,946,1437,2625,3583,234642,5489,5999,4649,3795,4112,4707,6123,6295,6142,5936,5655,6413,6213,7800,10910,9794,9259,8994,8076,7937,9434,9447,8913,8717,8391,9325,8702
"   Nacionales",,,944,1433,2620,3470,233637,5363,5608,4508,3761,4067,4537,5873,6026,5891,5552,5280,6034,5782,7415,10525,9415,8870,8571,7010,6826,8396,8694,8167,8156,8022,8951,8330
"   Internacionales",,,2,4,5,113,1005,126,391,141,34,45,170,250,269,251,384,375,379,431,385,385,379,389,423,1066,1111,1038,753,746,561,369,374,372
"   Regulares",1429,971,946,1412,2613,3576,234459,5139,5705,4622,3742,4040,4687,6113,6259,6124,5898,5601,6363,6179,7733,10833,9736,9242,8943,8020,7897,9354,9288,8787,8651,8334,9228,8629
"          Nacionales Regulares",1426,961,944,1408,2608,3463,233454,5070,5498,4481,3741,4040,4532,5873,6005,5879,5530,5234,5989,5749,7358,10462,9365,8853,8529,6973,6795,8324,8560,8058,8094,7966,8865,8266
"          Internacionales Regulares",3,10,2,4,5,113,1005,69,207,141,1,0,155,240,254,245,368,367,374,430,375,371,371,389,414,1047,1102,1030,728,729,557,368,363,363
"   Charters",0,3,0,25,12,7,183,350,294,27,53,72,20,10,36,18,38,54,50,34,67,77,58,17,51,56,40,80,159,126,66,57,97,73
"         Charters Nacionales",0,0,0,25,12,7,183,293,110,27,20,27,5,0,21,12,22,46,45,33,57,63,50,17,42,37,31,72,134,109,62,56,86,64
"         Charters Internacionales",0,0,0,0,0,0,0,57,184,0,33,45,15,10,15,6,16,8,5,1,10,14,8,0,9,19,9,8,25,17,4,1,11,9
"Villahermosa, Tab.",3343,3197,1837,2093,3684,4910,232354,6575,6059,5310,5535,5861,5338,6573,6687,6447,6161,7039,8089,7531,7379,8828,8488,6736,6234,6134,6921,6999,7972,8377,8069,7613,6074,5326
"   Nacionales",,,1837,2093,3682,4891,231754,6574,6048,5309,5532,5854,5314,6417,6561,6442,6135,6674,7719,7161,7011,8461,8122,6354,5851,5736,6458,6622,7605,7919,7620,7259,5895,5326
"   Internacionales",,,0,0,2,19,600,1,11,1,3,7,24,156,126,5,26,365,370,370,368,367,366,382,383,398,463,377,367,458,449,354,179,0
"   Regulares",3343,3196,1837,2093,3682,4910,230650,6524,6045,5310,5532,5854,5322,6505,6575,6439,6149,7026,8077,7489,7370,8817,8472,6718,6181,6122,6894,6971,7955,8366,8054,7572,6054,5317
"          Nacionales Regulares",3343,3196,1837,2093,3680,4891,230119,6523,6044,5309,5532,5854,5303,6415,6555,6438,6126,6663,7709,7125,7004,8455,8108,6345,5810,5726,6439,6608,7593,7912,7608,7222,5876,5317
"          Internacionales Regulares",0,0,0,0,2,19,531,1,1,1,0,0,19,90,20,1,23,363,368,364,366,362,364,373,371,396,455,363,362,454,446,350,178,0
"   Charters",0,1,0,0,2,0,1704,51,14,0,3,7,16,68,112,8,12,13,12,42,9,11,16,18,53,12,27,28,17,11,15,41,20,9
"         Charters Nacionales",0,0,0,0,2,0,1635,51,4,0,0,0,11,2,6,4,9,11,10,36,7,6,14,9,41,10,19,14,12,7,12,37,19,9
"         Charters Internacionales",0,0,0,0,0,0,69,0,10,0,3,7,5,66,106,4,3,2,2,6,2,5,2,9,12,2,8,14,5,4,3,4,1,0
"Zacatecas, Zac.",754,733,986,1180,1673,1709,132788,3654,4531,3708,3401,3584,3692,3456,2466,2920,2571,2464,2453,2844,3555,2719,2635,2680,2740,2004,1887,1869,2101,2208,2281,2084,2042,2448
"   Nacionales",,,986,1180,1430,1330,72613,2848,3734,3034,2549,2659,2783,3051,2344,2446,2006,1846,1839,2240,2996,2106,2064,2258,2350,1764,1611,1496,1659,1733,1754,1470,1393,1774
"   Internacionales",,,0,0,243,379,60175,806,797,674,852,925,909,405,122,474,565,618,614,604,559,613,571,422,390,240,276,373,442,475,527,614,649,674
"   Regulares",754,733,986,1168,1673,1692,132390,3651,4525,3707,3401,3568,3692,3456,2463,2920,2569,2460,2453,2838,3554,2718,2635,2680,2725,1997,1887,1869,2101,2208,2281,2084,2042,2448
"          Nacionales Regulares",754,733,986,1168,1430,1313,72263,2845,3729,3033,2549,2643,2783,3051,2341,2446,2004,1842,1839,2234,2995,2105,2064,2258,2338,1757,1611,1496,1659,1733,1754,1470,1393,1774
"          Internacionales Regulares",0,0,0,0,243,379,60127,806,796,674,852,925,909,405,122,474,565,618,614,604,559,613,571,422,387,240,276,373,442,475,527,614,649,674
"   Charters",0,0,0,12,0,17,398,3,6,1,0,16,0,0,3,0,2,4,0,6,1,1,0,0,15,7,0,0,0,0,0,0,0,0
"         Charters Nacionales",0,0,0,12,0,17,350,3,5,1,0,16,0,0,3,0,2,4,0,6,1,1,0,0,12,7,0,0,0,0,0,0,0,0
"         Charters Internacionales",0,0,0,0,0,0,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
