estado,vuelos,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Minatitlán, Ver.",Total Estado,940.0,751.0,708,918,1933,2322,116666,2995,2880,2135,1299,1078,1059,1418,1276,968,991,1023,1017,1701,1789,2830,2176,1472,1003,1235,1361,1401,1843,1879,1863,1486,1378,1065
"Minatitlán, Ver.",   Nacionales,,,708,918,1925,2316,115061,2995,2880,2135,1299,1078,1059,1418,1276,968,990,1023,1017,1701,1789,2830,2176,1472,1002,1235,1357,1400,1843,1879,1853,1486,1378,1065
"Minatitlán, Ver.",   Internacionales,,,0,0,8,6,1605,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,1,0,0,10,0,0,0
"Monterrey, N.L.",Total Estado,8506.0,8334.0,5882,7608,10220,15394,911657,19845,31977,31767,32334,34235,38294,41694,43051,42187,39528,40418,45444,43688,48323,55287,51634,39063,39788,37340,38919,40290,46660,52662,53190,51423,53021,52153
"Monterrey, N.L.",   Nacionales,,,4153,5087,7072,11773,761618,16002,24037,25723,25319,28203,30245,31495,33695,33595,31219,31095,34739,33746,39467,46699,42747,33099,32528,30127,30943,32069,37866,41334,42363,41349,42886,41890
"Monterrey, N.L.",   Internacionales,,,1729,2521,3148,3621,150039,3843,7940,6044,7015,6032,8049,10199,9356,8592,8309,9323,10705,9942,8856,8588,8887,5964,7260,7213,7976,8221,8794,11328,10827,10074,10135,10263
"Morelia, Mich.",Total Estado,639.0,684.0,535,703,1326,2346,73661,3914,6440,5914,6079,5960,6158,5660,6003,5975,5296,4859,5157,6262,5906,5505,5088,4185,3707,3379,3535,3359,3526,3485,3604,3814,4016,4047
"Morelia, Mich.",   Nacionales,,,535,703,1256,2344,73593,3758,6217,5263,5152,4883,5071,4493,4628,4915,4576,3930,3967,4426,4149,4035,3698,2847,2539,2111,2068,2105,2152,2053,2153,2285,2254,2049
"Morelia, Mich.",   Internacionales,,,0,0,70,2,68,156,223,651,927,1077,1087,1167,1375,1060,720,929,1190,1836,1757,1470,1390,1338,1168,1268,1467,1254,1374,1432,1451,1529,1762,1998
"Nogales, Son.",Total Estado,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,42,153,0,0,0,0,0,0,0,0,0,0,0,0
"Nogales, Son.",   Nacionales,,,0,0,1,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,42,153,0,0,0,0,0,0,0,0,0,0,0,0
"Nogales, Son.",   Internacionales,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nuevo Laredo, Tamps.",Total Estado,677.0,566.0,356,463,463,522,40501,382,724,726,738,701,674,670,667,659,641,620,843,698,737,667,668,1059,1032,954,955,732,617,660,690,633,387,396
"Nuevo Laredo, Tamps.",   Nacionales,,,355,463,463,520,40478,382,724,726,738,701,674,670,667,659,641,618,842,698,737,667,668,1059,1032,954,955,732,617,660,660,633,387,396
"Nuevo Laredo, Tamps.",   Internacionales,,,1,0,0,2,23,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
"Oaxaca, Oax.",Total Estado,2908.0,2775.0,2123,2703,2946,4269,267024,4284,4874,4280,4959,4966,4314,5089,4486,4484,4443,3790,4378,4166,4372,3990,4953,4488,3637,3082,3675,3336,3596,4099,5568,6468,6429,8041
"Oaxaca, Oax.",   Nacionales,,,2123,2699,2939,4268,266280,4284,4839,4279,4959,4965,4293,5085,4486,4479,4443,3784,4192,3722,3842,3795,4736,4155,3406,2741,3362,3019,3295,3783,5333,6156,6049,7275
"Oaxaca, Oax.",   Internacionales,,,0,4,7,1,744,0,35,1,0,1,21,4,0,5,0,6,186,444,530,195,217,333,231,341,313,317,301,316,235,312,380,766
"Palenque, Chis.  ",Total Estado,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,718,734,440,1,0,16,0,0,3,0,0,0,0,0,0,84,111,107,105,273,103
"Palenque, Chis.  ",   Nacionales,,,0,0,0,0,0,0,0,0,0,0,0,588,631,395,1,0,16,0,0,3,0,0,0,0,0,0,84,111,107,105,273,103
"Palenque, Chis.  ",   Internacionales,,,0,0,0,0,0,0,0,0,0,0,0,130,103,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
