Origen,Destino,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cancún,Querétaro,0,0,0,0,0,0,0,0,0,0,0,0,0,125,359,0,4837,0,652,0,2856,16883,22692,22782,34247,47871,58904,74658
Cancún,Rancho la Gaviota,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancún,Rancho la Nogalera,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancún,Reynosa,0,1039,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7222,17000,21390,39307,31627,35477,35047
Cancún,Saltillo,0,0,4043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancún,San José Del Cabo,0,0,0,0,0,77,0,0,0,150,4,0,0,0,96,0,0,0,0,0,0,0,0,0,119,102,0,0
Cancún,San Luis Potosí,0,630,407,0,0,0,0,0,0,432,0,532,560,467,420,546,536,626,893,829,790,1847,14879,15359,21957,23518,31835,34563
Cancún,Tampico,189,0,65,0,0,0,0,0,0,163,0,0,0,0,0,49,0,41,0,0,0,6651,13671,17584,21541,23294,24974,24686
Cancún,Tapachula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,100,0
Cancún,Terrero de Basonopa,0,0,0,0,1033,2602,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancún,Tijuana,4601,4239,2077,1237,2760,1255,2093,2589,2543,3684,4861,8583,1884,154,0,4013,12263,0,0,0,0,9609,15137,8452,10461,17909,18910,27497
Cancún,Toluca,0,0,110,0,0,0,0,0,0,174,35,66,0,8167,150881,231166,291126,217695,254493,154727,102020,136310,94498,82466,59468,55993,44540,64025
Cancún,Torreón,764,2782,2169,651,568,547,615,1173,1246,1517,1888,2204,533,200,39,0,0,575,693,687,766,8807,9028,0,0,300,9275,16708
Cancún,Tuxtla Gutiérrez,1588,1415,1057,1905,2997,4174,4741,3811,2592,6033,6396,8500,10006,7082,1243,719,0,76,33,0,12780,18680,20429,33489,50715,61066,69201,72294
Cancún,Veracruz,20881,4848,282,488,3442,4646,6189,5869,4956,7114,7162,8101,8912,9961,16376,15099,7254,7226,25394,29807,44423,52059,70455,83174,104736,113977,111090,110216
Cancún,Villahermosa,2813,4996,2129,2943,4772,4292,4857,5904,6499,3247,3736,3935,4449,3700,3249,4885,6745,3500,2707,74,10282,14928,17857,28774,37679,42716,39231,43548
Cancún,Zacatecas,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0,0,117,0,0,0,0,49,0,0,0,0
Cancún,Zihuatanejo,0,0,0,0,0,0,0,91,0,0,0,0,1430,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0
