Origen,Destino,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cancún,Culiacán,0,12,7,1,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cancún,Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Cancún,Guadalajara,418,791,433,514,516,532,373,260,426,278,303,954,537,608,896,858,1159,1219,1597,1408,1367,1600,1684,1960,2274,2669,3091,2841
Cancún,Hermosillo,0,8,9,0,2,0,3,5,0,0,0,0,13,2,0,1,0,0,0,1,2,8,47,0,0,0,0,32
Cancún,Huatulco,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cancún,La Paz,0,0,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Cancún,León,7,43,71,66,17,6,22,76,102,115,105,344,255,148,153,156,140,132,110,120,193,302,405,377,453,876,1166,1184
Cancún,Manzanillo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancún,Matamoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cancún,Mazatlán,4,0,1,0,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,2,0,1
Cancún,Mérida,2065,1687,1572,1383,1148,892,875,1068,1000,914,877,683,905,634,875,1079,907,641,645,426,428,387,403,267,321,509,387,462
Cancún,Mexicali,3,7,6,0,0,0,0,0,6,44,38,198,25,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0
Cancún,México,4882,5097,5317,5641,6203,6607,7191,7414,7164,7979,9071,9944,10588,8956,9498,10818,10734,9885,9353,10651,13516,13599,14098,14483,15602,16511,16918,16571
Cancún,Minatitlán,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Cancún,Monterrey,264,676,638,506,522,596,1048,1272,1487,1337,1362,2075,2630,2019,1789,2870,2567,2251,2630,2220,3435,2841,3097,3675,3890,4274,4815,5299
Cancún,Morelia,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,2,39,27,0,1,2,0,0
Cancún,Nuevo Laredo,1,0,6,6,4,0,2,3,2,0,0,1,2,2,0,3,2,3,1,0,0,0,0,0,0,14,3,0
Cancún,Oaxaca,157,209,108,215,358,466,411,360,344,344,322,299,276,310,76,0,0,0,0,0,0,60,11,0,0,157,107,38
Cancún,Palenque,0,0,0,0,68,173,105,124,107,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0
Cancún,Poza Rica,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancún,Puebla,5,72,106,9,0,0,0,0,0,0,0,0,0,0,0,286,481,634,766,364,316,300,294,352,409,640,691,786
Cancún,Puerto Vallarta,3,2,9,3,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,1,1,0,3,0,0,1,1,0
Cancún,Querétaro,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,153,0,18,0,21,124,188,181,290,326,375,489
Cancún,Rancho la Gaviota,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancún,Rancho la Nogalera,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancún,Reynosa,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,143,144,255,209,233,228
Cancún,Saltillo,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cancún,San José Del Cabo,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0
Cancún,San Luis Potosí,0,8,8,0,0,0,0,0,0,26,0,5,7,5,4,5,6,8,9,9,7,19,118,124,156,162,241,248
Cancún,Tampico,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,62,119,134,151,154,170,166
Cancún,Tapachula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
Cancún,Terrero de Basonopa,0,0,0,0,8,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancún,Tijuana,191,254,54,10,18,9,37,191,29,59,250,481,64,4,0,61,122,0,0,0,0,75,119,68,80,125,119,173
Cancún,Toluca,0,0,1,0,0,0,0,0,0,3,1,2,0,124,1727,2240,2660,1983,2130,1499,971,1421,912,924,493,428,362,491
Cancún,Torreón,9,28,26,5,7,7,5,12,12,14,17,18,5,3,1,0,0,7,6,5,9,76,78,0,0,3,61,119
Cancún,Tuxtla Gutiérrez,157,174,139,272,359,413,433,409,331,344,338,326,431,338,168,106,0,2,1,0,111,167,167,244,373,572,561,493
Cancún,Veracruz,181,41,3,102,204,216,362,361,452,397,399,352,380,291,362,387,246,602,747,280,368,456,573,623,744,765,690,705
Cancún,Villahermosa,266,357,209,366,419,433,471,468,640,363,523,383,425,333,263,317,270,246,235,4,91,161,164,377,468,620,343,298
Cancún,Zacatecas,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Cancún,Zihuatanejo,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Celaya,Total,0,3,0,22,0,0,0,0,0,1,2,9,4,0,0,548,119,0,0,1,13,3,3,0,0,0,0,0
Celaya,Acapulco,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Celaya,Apatzingán,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Celaya,Cuernavaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Celaya,Culiacán,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Celaya,León,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Celaya,México,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0
Celaya,Minatitlán,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Celaya,Monterrey,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,222,68,0,0,0,0,0,0,0,0,0,0,0
Celaya,Morelia,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
