estado,museo,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,clas_visitantes
Ciudad de México,Museo de El Carmen,87249.0,177705.0,60083.0,27445.0,25335.0,27391.0,48217.0,52113.0,48489.0,51149.0,63011.0,62869.0,47368.0,55808.0,48559.0,59261.0,55633.0,61654.0,63266.0,81156.0,Total Visitantes
Ciudad de México,Museo de El Carmen,82992.0,169006.0,57698.0,26229.0,23996.0,25773.0,46451.0,50808.0,46987.0,49308.0,60832.0,61274.0,46893.0,53986.0,47631.0,58423.0,54513.0,60397.0,61702.0,79628.0,    Visitantes Nacionales
Ciudad de México,Museo de El Carmen,4257.0,8699.0,2385.0,1216.0,1339.0,1618.0,1766.0,1305.0,1502.0,1841.0,2179.0,1595.0,475.0,1822.0,928.0,838.0,1120.0,1257.0,1564.0,1528.0,    Visitantes Internacionales
Ciudad de México,Museo del Templo Mayor,517672.0,558061.0,539165.0,507909.0,495120.0,502239.0,532588.0,598204.0,863628.0,630917.0,728888.0,584513.0,584155.0,642265.0,646367.0,711290.0,653513.0,801942.0,977275.0,912673.0,Total Visitantes
Ciudad de México,Museo del Templo Mayor,409390.0,450105.0,446531.0,445390.0,426515.0,424829.0,443506.0,543244.0,800633.0,586320.0,663027.0,522233.0,530784.0,581565.0,570364.0,638010.0,585990.0,726438.0,885863.0,791102.0,    Visitantes Nacionales
Ciudad de México,Museo del Templo Mayor,108282.0,107956.0,92634.0,62519.0,68605.0,77410.0,89082.0,54960.0,62995.0,44597.0,65861.0,62280.0,53371.0,60700.0,76003.0,73280.0,67523.0,75504.0,91412.0,121571.0,    Visitantes Internacionales
Ciudad de México,Museo Nacional de Antropología,1544162.0,1170948.0,1243487.0,1391842.0,1506229.0,2328404.0,1403231.0,1793584.0,1641457.0,1562873.0,1446506.0,1767092.0,2117303.0,2002133.0,2379747.0,1963021.0,1712645.0,2336115.0,2596725.0,3086555.0,Total Visitantes
Ciudad de México,Museo Nacional de Antropología,1103003.0,864795.0,963801.0,1092342.0,1180586.0,2011244.0,1117311.0,1536558.0,1387548.0,1393131.0,1253273.0,1569002.0,1897144.0,1741611.0,2086636.0,1674611.0,1437750.0,2063340.0,2212588.0,2719373.0,    Visitantes Nacionales
Ciudad de México,Museo Nacional de Antropología,441159.0,306153.0,279686.0,299500.0,325643.0,317160.0,285920.0,257026.0,253909.0,169742.0,193233.0,198090.0,220159.0,260522.0,293111.0,288410.0,274895.0,272775.0,384137.0,367182.0,    Visitantes Internacionales
Ciudad de México,Museo Nacional de Historia,545463.0,1003067.0,960979.0,1010099.0,1317697.0,1351951.0,1362886.0,1260619.0,1173015.0,1183785.0,1379047.0,1272534.0,1403647.0,1677915.0,1479382.0,2006072.0,1703992.0,2135465.0,2661615.0,2811646.0,Total Visitantes
Ciudad de México,Museo Nacional de Historia,501478.0,950231.0,928536.0,979266.0,1292267.0,1327186.0,1331889.0,1215022.0,1135627.0,1168339.0,1348234.0,1212995.0,1353597.0,1642701.0,1413223.0,1928436.0,1622573.0,2050800.0,2537181.0,2661374.0,    Visitantes Nacionales
Ciudad de México,Museo Nacional de Historia,43985.0,52836.0,32443.0,30833.0,25430.0,24765.0,30997.0,45597.0,37388.0,15446.0,30813.0,59539.0,50050.0,35214.0,66159.0,77636.0,81419.0,84665.0,124434.0,150272.0,    Visitantes Internacionales
Ciudad de México,Museo Nacional de las Culturas,290897.0,360322.0,345597.0,281504.0,251647.0,260997.0,194681.0,188675.0,198930.0,0.0,39774.0,183499.0,215637.0,219624.0,172708.0,262741.0,366735.0,369865.0,438913.0,567997.0,Total Visitantes
Ciudad de México,Museo Nacional de las Culturas,284985.0,357861.0,343020.0,279140.0,231089.0,235103.0,175212.0,183149.0,192164.0,0.0,37480.0,176820.0,214717.0,219624.0,172708.0,246307.0,339551.0,341675.0,407685.0,533558.0,    Visitantes Nacionales
Ciudad de México,Museo Nacional de las Culturas,5912.0,2461.0,2577.0,2364.0,20558.0,25894.0,19469.0,5526.0,6766.0,0.0,2294.0,6679.0,920.0,0.0,0.0,16434.0,27184.0,28190.0,31228.0,34439.0,    Visitantes Internacionales
Ciudad de México,Museo Nacional de las Intervenciones,111396.0,121325.0,123232.0,113898.0,110848.0,115264.0,113717.0,126204.0,115716.0,84688.0,103616.0,99328.0,107680.0,142397.0,128430.0,135820.0,138686.0,135675.0,141987.0,143343.0,Total Visitantes
Ciudad de México,Museo Nacional de las Intervenciones,110219.0,120632.0,122242.0,113172.0,110096.0,114610.0,112993.0,125821.0,115432.0,84524.0,103397.0,99171.0,107544.0,142165.0,128150.0,135412.0,138060.0,134652.0,140930.0,142221.0,    Visitantes Nacionales
Ciudad de México,Museo Nacional de las Intervenciones,1177.0,693.0,990.0,726.0,752.0,654.0,724.0,383.0,284.0,164.0,219.0,157.0,136.0,232.0,280.0,408.0,626.0,1023.0,1057.0,1122.0,    Visitantes Internacionales
