"Estado","Zonas Arqueológicas",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,"20191/"
,"Z.A. de Las Flores",7.332,7.439,5.218,5.385,5.641,5.415,7.097,5.881,5.093,2.220,742,511,451,2.594,2.359,2.840,2.874,3.149,3.051,2.684
,"    Visitantes Nacionales",6.037,6.224,4.504,4.692,4.725,4.385,6.330,5.490,4.697,2.089,697,488,441,2.493,2.293,2.766,2.848,3.099,2.950,2.636
,"    Visitantes Internacionales",1.295,1.215,714,693,916,1.030,767,391,396,131,45,23,10,101,66,74,26,50,101,48
,"Z.A. de Balcón de Moctezuma",8.216,8.026,0,2.063,1.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274
,"    Visitantes Nacionales",3.846,4.110,0,1.089,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274
,"    Visitantes Internacionales",4.370,3.916,0,974,1.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
"Tlaxcala",,221.893,224.714,242.827,242.388,196.908,211.992,190.625,164.320,181.073,199.011,194.867,225.321,227.791,204.397,260.580,224.913,290.530,266.671,273.344,225.723
,"    Visitantes Nacionales",210.526,214.039,230.543,231.767,181.063,202.139,172.338,157.010,174.142,193.513,189.704,220.233,223.800,201.351,257.607,221.842,287.822,264.004,270.667,223.230
,"    Visitantes Internacionales",11.367,10.675,12.284,10.621,15.845,9.853,18.287,7.310,6.931,5.498,5.163,5.088,3.991,3.046,2.973,3.071,2.708,2.667,2.677,2.493
,"Z.A. de Cacaxtla con museo de sitio",139.272,138.383,134.593,127.776,130.807,122.930,114.769,49.112,69.639,98.179,102.081,115.980,120.885,108.952,152.951,101.790,144.589,122.165,125.552,127.381
,"    Visitantes Nacionales",131.359,130.579,128.130,120.459,119.802,117.277,104.965,45.402,67.259,94.765,98.782,112.376,117.876,106.521,150.713,99.939,142.790,120.593,123.588,125.672
,"    Visitantes Internacionales",7.913,7.804,6.463,7.317,11.005,5.653,9.804,3.710,2.380,3.414,3.299,3.604,3.009,2.431,2.238,1.851,1.799,1.572,1.964,1.709
,"Z.A. de Ocotelulco con museo de sitio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,979,613,480,1.104
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,933,582,466,1.077
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,46,31,14,27
,"Z.A. de Tecoaque",0,0,0,0,0,0,0,0,0,0,0,0,0,6.395,10.465,14.884,23.550,19.024,15.736,18.954
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,6.395,10.370,14.795,23.414,18.789,15.581,18.633
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,89,136,235,155,321
,"Z.A. de Tizatlán con museo de sitio}",3.263,3.128,3.245,2.275,2.837,3.920,3.935,4.396,4.679,3.458,3.139,4.048,3.083,2.513,1.915,1.558,1.966,1.733,1.588,2.410
,"    Visitantes Nacionales",3.013,2.818,2.625,1.875,2.598,3.729,3.190,3.931,4.091,3.094,2.784,3.659,2.830,2.419,1.825,1.425,1.768,1.600,1.549,2.402
,"    Visitantes Internacionales",250,310,620,400,239,191,745,465,588,364,355,389,253,94,90,133,198,133,39,8
,"Z.A. de Xochitécatl con museo de sitio",79.358,83.203,104.989,112.337,63.264,85.142,71.921,110.812,106.755,97.374,89.647,105.293,103.823,86.537,95.249,106.333,119.446,123.136,129.988,75.874
,"    Visitantes Nacionales",76.154,80.642,99.788,109.433,58.663,81.133,64.183,107.677,102.792,95.654,88.138,104.198,103.094,86.016,94.699,105.361,118.917,122.440,129.483,75.446
,"    Visitantes Internacionales",3.204,2.561,5.201,2.904,4.601,4.009,7.738,3.135,3.963,1.720,1.509,1.095,729,521,550,972,529,696,505,428
,,,,,,,,,,,,,,,,,,,,,
"Veracruz",,433.983,579.442,741.760,783.293,998.290,496.154,587.553,581.191,497.910,547.592,484.964,497.750,474.775,511.240,410.042,533.377,506.405,475.264,488.773,523.962
,"    Visitantes Nacionales",335.025,465.148,674.369,744.615,962.602,481.417,564.082,556.272,475.188,528.677,471.179,486.743,464.325,502.272,403.194,525.470,499.472,470.330,484.103,518.083
,"    Visitantes Internacionales",98.958,114.294,67.391,38.678,35.688,14.737,23.471,24.919,22.722,18.915,13.785,11.007,10.450,8.968,6.848,7.907,6.933,4.934,4.670,5.879
,"Z.A. de Castillo de Teayo con museo de sitio",0,0,3.005,0,0,3.478,3.611,3.172,3.093,3.093,1.966,2.524,2.075,136,1.207,2.745,1.465,1.939,2.404,1.116
,"    Visitantes Nacionales",0,0,2.932,0,0,3.388,3.541,3.006,3.012,3.053,1.948,2.503,2.062,136,1.207,2.745,1.465,1.939,2.404,1.116
,"    Visitantes Internacionales",0,0,73,0,0,90,70,166,81,40,18,21,13,0,0,0,0,0,0,0
,"Z.A. de Cempoala con museo de sitio",62.688,74.643,78.584,66.372,74.962,78.068,72.127,72.878,82.167,74.292,58.961,63.397,48.215,48.337,40.611,44.033,45.410,40.933,41.461,41.404
,"    Visitantes Nacionales",58.822,71.571,74.444,62.268,71.706,74.849,68.624,68.771,78.179,71.186,57.017,61.359,47.086,47.397,39.591,43.048,44.410,40.071,40.469,40.618
,"    Visitantes Internacionales",3.866,3.072,4.140,4.104,3.256,3.219,3.503,4.107,3.988,3.106,1.944,2.038,1.129,940,1.020,985,1.000,862,992,786
,"Z.A. de Cuajilote",6.080,5.785,4.204,3.745,3.178,3.718,4.500,3.469,3.498,4.068,8.434,7.372,5.591,4.260,5.432,5.311,5.490,4.880,4.499,5.126
,"    Visitantes Nacionales",5.766,5.220,4.076,3.628,3.007,3.643,4.453,3.314,3.483,4.063,8.401,7.209,5.591,4.260,5.428,5.292,5.486,4.880,4.471,5.126
,"    Visitantes Internacionales",314,565,128,117,171,75,47,155,15,5,33,163,0,0,4,19,4,0,28,0
,"Z.A. de Cuauhtochco",329,118,352,293,285,280,2.158,505,281,473,240,277,285,135,16,0,0,0,0,0
,"    Visitantes Nacionales",329,101,352,293,285,278,2.100,505,200,473,240,259,285,135,16,0,0,0,0,0
,"    Visitantes Internacionales",0,17,0,0,0,2,58,0,81,0,0,18,0,0,0,0,0,0,0,0
,"Z.A. de Cuyuxquihui",2.562,1.525,2.009,1.889,2.480,3.523,3.136,3.362,3.321,4.948,3.473,3.160,4.127,6.170,4.651,4.674,4.239,3.253,2.701,3.712
,"    Visitantes Nacionales",2.550,1.519,2.009,1.887,2.472,3.352,3.126,3.362,3.318,4.948,3.447,3.156,4.127,6.170,4.651,4.674,4.239,3.253,2.701,3.712
,"    Visitantes Internacionales",12,6,0,2,8,171,10,0,3,0,26,4,0,0,0,0,0,0,0,0
,"Z.A. de El Tajín",338.655,476.735,629.908,685.124,888.637,380.264,470.311,472.636,381.509,431.328,388.403,390.831,384.697,423.601,330.331,442.761,414.601,386.406,395.698,426.176
,"    Visitantes Nacionales",246.276,367.517,568.414,652.220,858.590,370.426,452.014,452.770,363.617,416.254,377.276,382.777,375.822,415.875,324.962,436.356,409.283,382.812,392.633,421.633
,"    Visitantes Internacionales",92.379,109.218,61.494,32.904,30.047,9.838,18.297,19.866,17.892,15.074,11.127,8.054,8.875,7.726,5.369,6.405,5.318,3.594,3.065,4.543
,"Z.A. de Las Higueras con museo de sitio",859,685,725,888,929,813,825,394,600,463,624,679,815,805,537,448,262,357,465,488
,"    Visitantes Nacionales",784,606,653,844,828,795,816,393,593,450,623,674,812,804,535,443,230,357,465,485
,"    Visitantes Internacionales",75,79,72,44,101,18,9,1,7,13,1,5,3,1,2,5,32,0,0,3
,"Z.A. de Las Limas",83,73,0,0,0,3.193,3.596,91,160,235,105,217,248,243,173,431,491,341,761,925
,"    Visitantes Nacionales",83,73,0,0,0,3.147,3.486,91,160,233,105,217,248,243,173,431,491,341,761,925
,"    Visitantes Internacionales",0,0,0,0,0,46,110,0,0,2,0,0,0,0,0,0,0,0,0,0
,"Z.A. de Quiahuitztlán",16.704,14.446,17.446,20.326,23.081,18.812,22.671,19.939,18.725,24.135,19.139,25.202,24.791,23.456,22.487,27.973,27.775,31.546,34.342,38.838
,"    Visitantes Nacionales",14.583,13.270,16.263,19.007,21.135,17.703,21.464,19.473,18.247,23.561,18.763,24.592,24.419,23.191,22.084,27.504,27.199,31.092,33.779,38.302
,"    Visitantes Internacionales",2.121,1.176,1.183,1.319,1.946,1.109,1.207,466,478,574,376,610,372,265,403,469,576,454,563,536
,"Z.A. de San Lorenzo Tenochtitlan con museo de sitio",4.353,3.608,4.210,3.315,3.876,3.193,3.775,4.074,3.788,4.131,3.327,3.374,3.451,3.608,4.258,4.567,6.370,5.064,5.779,5.385
,"    Visitantes Nacionales",4.244,3.505,3.973,3.208,3.820,3.086,3.677,3.982,3.744,4.092,3.108,3.327,3.425,3.608,4.258,4.567,6.370,5.064,5.779,5.385
,"    Visitantes Internacionales",109,103,237,107,56,107,98,92,44,39,219,47,26,0,0,0,0,0,0,0
,"Z.A. de Vega de la Peña",1.670,1.824,1.317,1.341,862,812,843,671,768,426,292,717,480,489,339,434,302,545,663,792
,"    Visitantes Nacionales",1.588,1.766,1.253,1.260,759,750,781,605,635,364,251,670,448,453,289,410,299,521,641,781
,"    Visitantes Internacionales",82,58,64,81,103,62,62,66,133,62,41,47,32,36,50,24,3,24,22,11
,,,,,,,,,,,,,,,,,,,,,
"Yucatán",,1.826.977,1.772.935,1.736.293,1.977.441,1.980.709,1.644.293,1.565.241,2.061.746,2.121.497,1.445.520,2.092.412,2.134.678,2.196.175,2.825.776,2.816.102,2.709.596,2.854.924,3.517.959,3.639.642,3.297.471
,"    Visitantes Nacionales",1.089.974,1.102.912,1.130.084,1.110.973,906.180,774.273,811.965,1.035.971,971.734,855.245,1.201.890,1.262.533,1.362.750,1.603.867,1.430.313,1.216.460,1.004.546,1.555.202,1.424.848,1.419.829
,"    Visitantes Internacionales",737.003,670.023,606.209,866.468,1.074.529,870.020,753.276,1.025.775,1.149.763,590.275,890.522,872.145,833.425,1.221.909,1.385.789,1.493.136,1.850.378,1.962.757,2.214.794,1.877.642
,"Z.A. de Acanceh",4.506,3.551,2.537,3.514,4.656,3.296,4.444,5.654,6.428,5.625,8.162,8.033,7.696,6.776,7.071,6.965,8.121,8.426,6.655,6.571
,"    Visitantes Nacionales",3.885,3.335,2.374,3.301,4.218,3.029,4.088,4.913,5.080,4.710,6.922,6.642,6.757,6.222,6.510,6.397,7.503,7.744,5.977,5.782
,"    Visitantes Internacionales",621,216,163,213,438,267,356,741,1.348,915,1.240,1.391,939,554,561,568,618,682,678,789
,"Z.A. de Aké",9.673,8.022,8.358,8.705,8.700,6.020,7.416,8.729,8.743,6.858,7.937,8.422,8.050,8.230,8.003,8.712,10.216,14.829,17.972,16.497
,"    Visitantes Nacionales",8.917,7.415,8.024,8.395,8.084,5.476,6.747,7.641,7.786,6.307,7.144,7.793,7.475,7.596,7.415,8.078,9.307,13.791,17.006,15.612
,"    Visitantes Internacionales",756,607,334,310,616,544,669,1.088,957,551,793,629,575,634,588,634,909,1.038,966,885
,"Z.A. de Balamcanché",16.337,16.638,17.395,19.729,15.149,13.409,13.689,13.969,14.166,10.399,7.235,5.299,6.139,3.421,2.669,4.473,4.434,7.194,6.643,5.261
,"    Visitantes Nacionales",12.769,13.275,14.202,15.942,12.547,10.614,11.859,11.778,11.552,8.061,5.571,4.234,5.294,2.930,2.354,3.978,3.889,6.422,5.907,4.588
,"    Visitantes Internacionales",3.568,3.363,3.193,3.787,2.602,2.795,1.830,2.191,2.614,2.338,1.664,1.065,845,491,315,495,545,772,736,673
,"Z.A. de Chacmultún",4.032,5.012,2.688,2.394,2.678,1.910,2.852,2.011,2.404,2.206,1.843,1.997,1.955,1.468,1.890,1.822,2.390,2.760,1.505,1.672
,"    Visitantes Nacionales",3.612,4.761,2.576,2.213,2.481,1.885,2.621,1.893,2.340,2.157,1.780,1.937,1.852,1.392,1.830,1.638,2.292,2.690,1.477,1.650
,"    Visitantes Internacionales",420,251,112,181,197,25,231,118,64,49,63,60,103,76,60,184,98,70,28,22
,"Z.A. de Chichén Itzá",1.140.988,1.180.818,1.152.644,1.333.533,1.296.859,1.041.206,938.941,1.329.226,1.454.661,869.525,1.404.324,1.440.003,1.497.673,2.203.417,2.111.875,2.047.922,2.107.410,2.677.858,2.743.554,2.365.554
,"    Visitantes Nacionales",652.593,702.905,719.232,718.851,505.826,419.237,405.860,602.004,593.552,488.614,734.631,785.588,924.335,1.229.908,990.427,802.676,552.141,1.047.296,873.032,827.855
,"    Visitantes Internacionales",488.395,477.913,433.412,614.682,791.033,621.969,533.081,727.222,861.109,380.911,669.693,654.415,573.338,973.509,1.121.448,1.245.246,1.555.269,1.630.562,1.870.522,1.537.699
,"Z.A. de Dzibilchaltún con museo del Pueblo Maya",54.377,58.410,69.455,78.135,100.481,91.467,96.230,108.589,149.824,133.259,189.787,180.194,110.855,97.305,102.424,94.067,132.843,138.951,149.556,165.300
,"    Visitantes Nacionales",41.958,48.491,59.025,58.007,75.235,70.755,71.821,86.066,116.053,111.582,168.338,165.502,91.993,74.569,77.334,70.701,95.586,99.137,116.759,132.510
,"    Visitantes Internacionales",12.419,9.919,10.430,20.128,25.246,20.712,24.409,22.523,33.771,21.677,21.449,14.692,18.862,22.736,25.090,23.366,37.257,39.814,32.797,32.790
,"Z.A. de Ekbalam",27.184,33.054,35.058,47.689,58.120,54.871,61.364,82.425,92.969,71.671,122.498,124.698,168.695,158.277,179.817,157.747,164.589,180.267,192.590,171.373
,"    Visitantes Nacionales",21.092,21.889,18.818,25.530,23.604,24.735,30.000,29.573,32.584,30.606,63.393,56.585,67.668,56.589,78.564,63.225,57.248,62.993,70.103,68.799
,"    Visitantes Internacionales",6.092,11.165,16.240,22.159,34.516,30.136,31.364,52.852,60.385,41.065,59.105,68.113,101.027,101.688,101.253,94.522,107.341,117.274,122.487,102.574
,"Z.A. de Izamal",6.604,6.860,6.603,6.942,7.100,6.762,6.003,5.233,5.614,4.469,4.855,5.366,4.898,5.746,9.486,13.096,13.306,20.548,21.807,22.796
,"    Visitantes Nacionales",5.037,5.435,5.166,5.544,5.471,5.293,4.755,5.038,4.698,4.244,4.855,5.116,4.770,5.596,9.329,12.896,12.901,18.167,18.073,17.836
,"    Visitantes Internacionales",1.567,1.425,1.437,1.398,1.629,1.469,1.248,195,916,225,0,250,128,150,157,200,405,2.381,3.734,4.960
,"Z.A. de Kabah",64.576,58.593,51.485,59.462,61.365,49.086,47.265,54.916,54.919,41.404,44.291,41.378,44.587,39.729,41.844,38.333,43.540,46.970,42.879,41.956
,"    Visitantes Nacionales",29.945,27.346,27.899,25.202,22.496,17.776,22.932,22.670,21.327,17.762,21.803,22.161,23.689,22.280,23.581,20.943,24.946,28.152,24.489,24.728
,"    Visitantes Internacionales",34.631,31.247,23.586,34.260,38.869,31.310,24.333,32.246,33.592,23.642,22.488,19.217,20.898,17.449,18.263,17.390,18.594,18.818,18.390,17.228
,"Z.A. de Labná",21.190,23.223,30.598,26.048,25.777,21.112,19.283,20.175,22.896,19.832,19.577,23.274,21.000,17.071,19.375,16.533,18.096,19.021,18.360,15.153
,"    Visitantes Nacionales",13.297,15.941,22.638,17.969,17.737,13.346,13.353,13.395,15.181,13.253,13.775,17.151,14.765,13.064,14.624,12.290,13.664,14.405,14.129,11.193
,"    Visitantes Internacionales",7.893,7.282,7.960,8.079,8.040,7.766,5.930,6.780,7.715,6.579,5.802,6.123,6.235,4.007,4.751,4.243,4.432,4.616,4.231,3.960
,"Z.A. de Loltún",56.613,54.810,48.084,51.763,48.677,41.026,44.349,47.421,38.086,28.907,26.781,34.078,34.340,20.737,27.990,31.838,38.394,38.063,42.314,37.698
,"    Visitantes Nacionales",49.252,48.620,43.431,46.091,44.399,36.822,41.078,43.017,34.238,25.850,22.970,29.417,30.008,18.581,24.523,27.906,33.338,32.947,36.964,32.948
,"    Visitantes Internacionales",7.361,6.190,4.653,5.672,4.278,4.204,3.271,4.404,3.848,3.057,3.811,4.661,4.332,2.156,3.467,3.932,5.056,5.116,5.350,4.750
,"Z.A. de Mayapán",13.958,20.778,17.471,20.690,18.307,15.285,18.496,20.102,19.750,16.890,19.025,17.551,18.852,18.606,19.408,16.441,20.219,26.280,33.660,50.019
,"    Visitantes Nacionales",12.269,18.001,16.260,18.068,15.877,12.902,16.251,16.846,16.423,14.367,15.996,15.101,16.283,15.027,15.834,13.218,16.269,21.107,23.300,27.071
,"    Visitantes Internacionales",1.689,2.777,1.211,2.622,2.430,2.383,2.245,3.256,3.327,2.523,3.029,2.450,2.569,3.579,3.574,3.223,3.950,5.173,10.360,22.948
,"Z.A. de Oxkintok",11.093,15.241,17.273,12.121,9.086,10.750,6.797,10.393,7.770,9.053,9.636,8.534,9.154,7.980,7.047,6.624,7.846,8.981,9.208,7.824
,"    Visitantes Nacionales",10.246,13.922,16.354,11.327,8.298,9.646,6.187,9.445,7.014,8.384,8.542,7.788,8.473,7.369,6.318,5.873,7.113,7.960,8.418,7.084
,"    Visitantes Internacionales",847,1.319,919,794,788,1.104,610,948,756,669,1.094,746,681,611,729,751,733,1.021,790,740
,"Z.A. de Sayil",23.090,27.639,27.634,26.370,26.265,22.346,20.706,19.937,22.044,20.523,17.227,16.093,16.358,15.449,18.471,16.066,19.228,17.933,18.144,16.901
,"    Visitantes Nacionales",15.251,17.239,17.954,14.957,14.112,11.936,11.987,11.324,12.919,13.062,10.894,10.579,10.904,10.664,11.896,10.382,13.187,11.523,11.971,11.297
,"    Visitantes Internacionales",7.839,10.400,9.680,11.413,12.153,10.410,8.719,8.613,9.125,7.461,6.333,5.514,5.454,4.785,6.575,5.684,6.041,6.410,6.173,5.604
,"Z.A. de Uxmal con museo de sitio",356.920,244.441,232.175,269.879,287.744,255.694,266.860,322.604,215.405,198.451,202.991,211.546,239.069,215.498,227.900,218.360,229.224,266.610,284.762,315.921
,"    Visitantes Nacionales",198.460,142.768,141.884,132.813,139.599,123.738,154.823,160.006,85.169,99.838,109.033,120.241,142.545,126.084,138.758,135.540,133.107,152.848,166.704,199.647
,"    Visitantes Internacionales",158.460,101.673,90.291,137.066,148.145,131.956,112.037,162.598,130.236,98.613,93.958,91.305,96.524,89.414,89.142,82.820,96.117,113.762,118.058,116.274
,"Z.A. de Xcambó",0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.747,22.871,25.182,29.999,37.903,47.743
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.330,14.838,15.239,17.759,21.690,24.723
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.417,8.033,9.943,12.240,16.213,23.020
,"Z.A. de Xlapak",15.836,15.845,16.835,10.467,9.745,10.053,10.546,10.362,5.818,6.448,6.243,8.212,6.854,6.066,5.085,7.726,9.886,13.269,12.130,9.232
,"    Visitantes Nacionales",11.391,11.569,14.247,6.763,6.196,7.083,7.603,10.362,5.818,6.448,6.243,6.698,5.939,5.996,4.686,5.881,6.816,10.261,8.849,6.506
,"    Visitantes Internacionales",4.445,4.276,2.588,3.704,3.549,2.970,2.943,0,0,0,0,1.514,915,70,399,1.845,3.070,3.008,3.281,2.726
,,,,,,,,,,,,,,,,,,,,,
"Zacatecas",,55.571,60.551,61.333,63.320,65.551,67.136,69.429,63.646,57.891,44.912,43.294,30.748,28.267,29.344,34.564,35.906,46.872,49.933,50.453,71.536
,"    Visitantes Nacionales",53.172,57.120,58.264,59.701,60.992,62.432,66.215,61.169,56.101,43.895,42.468,29.868,27.926,28.988,34.145,35.440,46.405,49.490,49.781,70.264
,"    Visitantes Internacionales",2.399,3.431,3.069,3.619,4.559,4.704,3.214,2.477,1.790,1.017,826,880,341,356,419,466,467,443,672,1.272
,"Z.A. de Altavista o Chalchihuites con museo de sitio",9.396,10.026,10.059,11.340,12.555,12.858,13.293,11.137,10.370,6.540,6.826,5.303,5.848,5.058,6.702,6.286,6.996,7.336,7.803,8.404
,"    Visitantes Nacionales",9.178,9.710,9.776,11.085,12.230,12.664,12.821,10.911,10.090,6.371,6.728,5.275,5.775,5.003,6.603,6.120,6.845,7.172,7.559,8.217
,"    Visitantes Internacionales",218,316,283,255,325,194,472,226,280,169,98,28,73,55,99,166,151,164,244,187
,"Z.A. de La Quemada con museo de sitio",46.175,50.525,51.274,51.980,52.996,54.278,56.136,52.509,47.521,38.372,36.468,25.445,22.419,24.286,27.862,29.620,39.876,42.597,42.650,44.448
,"    Visitantes Nacionales",43.994,47.410,48.488,48.616,48.762,49.768,53.394,50.258,46.011,37.524,35.740,24.593,22.151,23.985,27.542,29.320,39.560,42.318,42.222,43.962
,"    Visitantes Internacionales",2.181,3.115,2.786,3.364,4.234,4.510,2.742,2.251,1.510,848,728,852,268,301,320,300,316,279,428,486
,"Z.A. de Las Ventanas1/",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.075
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.968
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
,"Z.A. Cerro del Teúl1/",,,,,,,,,,0,0,0,0,0,0,0,0,0,0,15.609
,"    Visitantes Nacionales",,,,,,,,,,0,0,0,0,0,0,0,0,0,0,15.117
,"    Visitantes Internacionales",,,,,,,,,,0,0,0,0,0,0,0,0,0,0,492
