"Estado","Zonas Arqueológicas",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,"20191/"
,"    Visitantes Internacionales",8.101,5.628,9.125,7.718,7.417,5.784,7.860,8.188,9.345,6.846,5.750,5.192,1.967,1.352,1.383,2.397,2.559,3.918,5.806,4.283
,"Z.A. de Yaxchilán",25.189,32.974,38.395,41.544,50.717,49.043,46.238,58.930,117.155,74.568,51.854,77.218,36.610,40.195,111.570,87.488,79.962,55.462,81.021,71.571
,"    Visitantes Nacionales",9.187,12.841,18.978,18.777,22.715,23.413,22.089,24.876,81.984,49.372,31.978,58.562,28.306,37.570,102.576,78.914,69.480,41.912,59.511,56.229
,"    Visitantes Internacionales",16.002,20.133,19.417,22.767,28.002,25.630,24.149,34.054,35.171,25.196,19.876,18.656,8.304,2.625,8.994,8.574,10.482,13.550,21.510,15.342
,,,,,,,,,,,,,,,,,,,,,
"Chihuahua",,65.251,58.362,126.034,96.514,104.384,75.675,68.523,54.339,57.665,40.950,39.602,43.415,39.916,51.129,54.314,53.415,80.956,68.183,64.519,58.302
,"    Visitantes Nacionales",54.234,50.788,112.302,86.735,90.394,66.445,59.434,48.251,54.540,39.836,39.010,42.445,38.748,49.797,52.859,51.935,78.062,65.314,61.472,55.844
,"    Visitantes Internacionales",11.017,7.574,13.732,9.779,13.990,9.230,9.089,6.088,3.125,1.114,592,970,1.168,1.332,1.455,1.480,2.894,2.869,3.047,2.458
,"Z.A. de Cuarenta Casas",15.566,8.490,13.073,9.671,12.600,16.203,16.594,12.883,11.618,10.507,6.798,6.744,5.792,7.355,7.388,5.548,9.996,2.927,2.762,3.589
,"    Visitantes Nacionales",11.788,8.151,12.459,9.289,12.060,15.193,15.979,12.447,11.133,10.290,6.644,6.633,5.586,7.178,7.215,5.267,9.790,2.870,2.699,3.560
,"    Visitantes Internacionales",3.778,339,614,382,540,1.010,615,436,485,217,154,111,206,177,173,281,206,57,63,29
,"Z.A. de Cueva de la Olla",0,0,0,0,0,0,0,0,0,0,694,7.048,7.468,8.823,8.808,12.565,22.510,24.529,19.310,16.566
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,671,6.644,7.224,8.576,8.387,11.917,21.867,23.357,18.404,15.831
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,23,404,244,247,421,648,643,1.172,906,735
,"Z.A. de Cueva Grande",0,0,0,0,0,0,0,0,0,0,19,353,350,762,905,1.591,1.497,500,182,440
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,19,353,350,754,898,1.557,1.453,500,182,426
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,34,44,0,0,14
,"Z.A. de Huapoca",0,0,0,0,0,0,0,0,0,0,19,361,356,309,389,386,605,172,67,132
,"    Visitantes Nacionales",0,0,0,0,0,0,0,0,0,0,19,359,356,309,376,383,595,172,67,114
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,3,10,0,0,18
,"Z.A. de Paquimé con Museo de las Culturas del Norte",49.685,49.872,112.961,86.843,91.784,59.472,51.929,41.456,46.047,30.443,32.072,28.909,25.950,33.880,36.824,33.325,46.348,40.055,42.198,37.575
,"    Visitantes Nacionales",42.446,42.637,99.843,77.446,78.334,51.252,43.455,35.804,43.407,29.546,31.657,28.456,25.232,32.980,35.983,32.811,44.357,38.415,40.120,35.913
,"    Visitantes Internacionales",7.239,7.235,13.118,9.397,13.450,8.220,8.474,5.652,2.640,897,415,453,718,900,841,514,1.991,1.640,2.078,1.662
,,,,,,,,,,,,,,,,,,,,,
"Colima",,29.627,24.969,17.998,29.993,33.591,18.736,20.585,17.940,15.019,13.275,13.516,13.114,15.701,14.344,14.754,16.848,19.347,20.949,20.903,25.729
,"    Visitantes Nacionales",24.967,21.335,15.124,26.252,26.070,12.777,15.722,13.079,11.092,10.229,10.967,11.722,14.467,13.693,14.013,15.377,17.781,19.213,19.973,24.949
,"    Visitantes Internacionales",4.660,3.634,2.874,3.741,7.521,5.959,4.863,4.861,3.927,3.046,2.549,1.392,1.234,651,741,1.471,1.566,1.736,930,780
,"Z.A. de El Chanal",11.136,8.032,7.135,9.632,8.002,15.161,15.765,5.497,4.904,3.803,5.280,6.507,6.484,6.765,6.192,6.777,7.704,8.620,8.640,9.835
,"    Visitantes Nacionales",10.742,7.529,6.506,8.998,7.163,9.954,11.536,4.738,4.536,3.639,5.162,6.376,6.378,6.609,6.011,6.618,7.473,8.350,8.439,9.654
,"    Visitantes Internacionales",394,503,629,634,839,5.207,4.229,759,368,164,118,131,106,156,181,159,231,270,201,181
,"Z.A. de La Campana",18.491,16.937,10.863,20.361,25.589,3.575,4.820,12.443,10.115,9.472,8.236,6.607,9.217,7.579,8.562,10.071,11.643,12.329,12.263,15.894
,"    Visitantes Nacionales",14.225,13.806,8.618,17.254,18.907,2.823,4.186,8.341,6.556,6.590,5.805,5.346,8.089,7.084,8.002,8.759,10.308,10.863,11.534,15.295
,"    Visitantes Internacionales",4.266,3.131,2.245,3.107,6.682,752,634,4.102,3.559,2.882,2.431,1.261,1.128,495,560,1.312,1.335,1.466,729,599
,,,,,,,,,,,,,,,,,,,,,
"Ciudad de México",,135.815,162.894,180.709,361.945,305.281,302.926,278.668,254.322,271.578,255.410,301.186,307.663,280.026,241.088,257.201,261.500,252.195,225.714,265.483,251.861
,"    Visitantes Nacionales",128.049,154.188,173.591,332.930,284.068,276.127,261.352,249.326,251.241,240.484,279.714,286.051,254.067,207.844,229.588,227.034,233.512,220.522,212.695,197.499
,"    Visitantes Internacionales",7.766,8.706,7.118,29.015,21.213,26.799,17.316,4.996,20.337,14.926,21.472,21.612,25.959,33.244,27.613,34.466,18.683,5.192,52.788,54.362
,"Z.A. de Cerro de la Estrella",23.647,58.836,73.224,156.224,124.561,109.681,110.459,114.467,119.561,123.364,116.585,130.376,119.034,50.963,77.169,52.606,29.671,35.739,32.112,25.223
,"    Visitantes Nacionales",23.647,58.836,73.224,156.224,124.561,109.681,110.459,114.467,119.561,123.326,116.570,130.302,118.944,50.960,77.111,52.570,29.654,35.739,32.112,25.210
,"    Visitantes Internacionales",0,0,0,0,0,0,0,0,0,38,15,74,90,3,58,36,17,0,0,13
,"Z.A. de Cuicuilco con museo de sitio",99.345,89.195,95.858,100.660,97.572,98.865,92.417,58.933,64.874,56.992,94.939,83.372,51.911,82.202,73.064,80.770,96.029,82.878,82.400,82.514
,"    Visitantes Nacionales",92.646,82.081,89.993,97.087,93.086,95.234,89.650,56.511,61.532,54.630,90.337,80.149,49.752,79.242,70.205,76.637,92.267,77.686,77.159,79.666
,"    Visitantes Internacionales",6.699,7.114,5.865,3.573,4.486,3.631,2.767,2.422,3.342,2.362,4.602,3.223,2.159,2.960,2.859,4.133,3.762,5.192,5.241,2.848
,"Z. A. de Mixcoac1/",,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2.127
,"    Visitantes Nacionales",,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2.036
,"    Visitantes Internacionales",,,,,,,,,,0,0,0,0,0,0,0,0,0,0,91
,"Z.A. de Tlatelolco con museo de sitio",12.823,14.863,11.627,105.061,83.148,94.380,75.792,80.922,87.143,75.054,89.662,93.915,109.081,107.923,106.968,128.124,126.495,107.097,150.971,141.997
,"    Visitantes Nacionales",11.756,13.271,10.374,79.619,66.421,71.212,61.243,78.348,70.148,62.528,72.807,75.600,85.371,77.642,82.272,97.827,111.591,107.097,103.424,90.587
,"    Visitantes Internacionales",1.067,1.592,1.253,25.442,16.727,23.168,14.549,2.574,16.995,12.526,16.855,18.315,23.710,30.281,24.696,30.297,14.904,0,47.547,51.410
,,,,,,,,,,,,,,,,,,,,,
"Durango",,11.072,11.729,11.478,19.229,17.543,17.087,18.706,18.733,18.946,13.754,9.642,7.275,8.981,11.483,11.584,12.299,12.417,13.652,12.496,14.295
,"    Visitantes Nacionales",10.933,11.581,11.316,19.000,17.302,16.833,18.449,18.433,18.722,13.615,9.526,7.206,8.904,11.282,11.455,12.156,12.284,13.408,12.264,13.983
,"    Visitantes Internacionales",139,148,162,229,241,254,257,300,224,139,116,69,77,201,129,143,133,244,232,312
,"Z.A. de La Ferrería con museo de sitio",11.072,11.729,11.478,19.229,17.543,17.087,18.706,18.733,18.946,13.754,9.642,7.275,8.981,11.483,11.584,12.299,12.417,13.652,12.496,14.295
,"    Visitantes Nacionales",10.933,11.581,11.316,19.000,17.302,16.833,18.449,18.433,18.722,13.615,9.526,7.206,8.904,11.282,11.455,12.156,12.284,13.408,12.264,13.983
,"    Visitantes Internacionales",139,148,162,229,241,254,257,300,224,139,116,69,77,201,129,143,133,244,232,312
,,,,,,,,,,,,,,,,,,,,,
"Estado de México",,3.334.339,2.794.457,2.959.919,2.337.302,1.992.403,2.088.447,1.674.420,1.190.970,2.379.855,1.925.870,2.232.300,2.578.115,2.559.108,2.645.870,2.968.367,3.411.166,4.375.722,4.687.063,4.511.364,4.119.365
,"    Visitantes Nacionales",2.262.915,2.186.777,2.349.970,2.003.178,1.602.993,1.667.709,1.354.699,761.897,1.922.493,1.524.491,1.724.297,2.063.649,2.022.709,2.123.448,2.317.572,2.715.217,3.733.220,4.009.525,3.839.908,3.436.559
,"    Visitantes Internacionales",1.071.424,607.680,609.949,334.124,389.410,420.738,319.721,429.073,457.362,401.379,508.003,514.466,536.399,522.422,650.795,695.949,642.502,677.538,671.456,682.806
,"Z. A. Teotihuacan (con Museo de Sitio)",3.097.201,2.594.159,2.756.281,2.122.872,1.752.428,1.822.032,1.410.887,983.227,2.160.300,1.688.301,1.925.100,2.234.439,2.182.069,2.323.658,2.487.040,2.906.200,3.852.129,4.185.017,4.067.198,3.459.528
,"    Visitantes Nacionales",2.030.854,1.990.923,2.151.070,1.796.302,1.373.328,1.407.498,1.097.951,557.185,1.706.244,1.291.100,1.420.142,1.724.072,1.649.291,1.804.223,1.842.827,2.215.907,3.216.397,3.513.346,3.400.732,2.779.408
,"    Visitantes Internacionales",1.066.347,603.236,605.211,326.570,379.100,414.534,312.936,426.042,454.056,397.201,504.958,510.367,532.778,519.435,644.213,690.293,635.732,671.671,666.466,680.120
,"Z.A. de Acozac",7.848,19.692,17.335,19.501,27.873,23.582,33.765,5.049,19.011,14.687,14.307,15.971,18.013,14.802,27.218,39.942,25.586,37.385,23.779,38.543
,"    Visitantes Nacionales",7.848,18.196,17.335,19.469,27.850,23.582,33.765,5.049,19.011,14.687,14.307,15.955,18.010,14.802,27.199,39.942,25.583,37.380,23.779,38.543
,"    Visitantes Internacionales",0,1.496,0,32,23,0,0,0,0,0,0,16,3,0,19,0,3,5,0,0
,"Z.A. de Calixtlahuaca",33.975,27.164,22.138,19.585,19.572,22.247,23.879,18.525,15.682,17.175,25.881,17.063,24.822,31.814,36.233,36.189,41.456,37.296,34.054,58.252
,"    Visitantes Nacionales",33.217,26.612,21.739,19.161,19.127,21.946,23.578,18.349,15.385,17.045,25.653,16.957,24.726,31.720,36.142,36.125,41.318,37.136,33.905,58.164
,"    Visitantes Internacionales",758,552,399,424,445,301,301,176,297,130,228,106,96,94,91,64,138,160,149,88
,"Z.A. de Chimalhuacán con museo de sitio",7.486,8.747,15.077,24.788,31.278,55.892,38.761,20.168,27.667,27.717,58.627,82.599,105.825,53.299,96.039,80.211,76.536,54.473,41.174,61.654
